"rs","region","ps","start_pos","end_pos","af_191","af_89","impact","RefSeq_ID","ncbi_func","protein_ID","gene_ID","gene_interval","gene_ann","no_vars_group","no_effects","ave_effect","lines","assocs","host","cat_rhiz","cat_sym","pleio_type","trait_combs","host_pleio","pleio","sig"
"freebayes-snp-psymb-1110530-A","pSymB","1110530",1110402,1110776,0.105,0.112,"LOW","NP_437497.1","DUF427 domain-containing protein","ASP62496.1","CDO30_30455","gene-CDO30_RS30485",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1110845-A","pSymB","1110845",NA,NA,0.314,0.326,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS30485-gene-CDO30_RS30490",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1110898-T","pSymB","1110898",1110859,1111452,0.099,0.112,"LOW","NP_437498.1","catechol 1%2C2-dioxygenase","ASP62497.1","CDO30_30460","gene-CDO30_RS30490",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1112775-A","pSymB","1112775",1112589,1113479,0.099,0.135,"LOW","NP_437501.1","3-oxoacyl-ACP reductase","ASP62500.1","CDO30_30475","gene-CDO30_RS30505",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1113519-G","pSymB","1113519",NA,NA,0.298,0.303,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS30505-gene-CDO30_RS30510",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1114131-G","pSymB","1114131",1113583,1114326,0.168,0.135,"LOW","NP_437502.1","oxidoreductase","ASP62501.1","CDO30_30480","gene-CDO30_RS30510",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1115124-A","pSymB","1115124",1114561,1115496,0.152,0.124,"LOW","NP_437503.1","AraC family transcriptional regulator","ASP62502.1","CDO30_30485","gene-CDO30_RS30515",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1115513-T","pSymB","1115513",NA,NA,0.115,0.101,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS30515-gene-CDO30_RS30520",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1117190-T","pSymB","1117190",1117174,1118193,0.105,0.146,"MODERATE","NP_437505.1","taurine ABC transporter substrate-binding protein","ASP62504.1","CDO30_30495","gene-CDO30_RS30525","tauA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1117191-G","pSymB","1117191",1117174,1118193,0.157,0.169,"MODERATE","NP_437505.1","taurine ABC transporter substrate-binding protein","ASP62504.1","CDO30_30495","gene-CDO30_RS30525","tauA",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1117245-T","pSymB","1117245",1117174,1118193,0.11,0.09,"LOW","NP_437505.1","taurine ABC transporter substrate-binding protein","ASP62504.1","CDO30_30495","gene-CDO30_RS30525","tauA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1118015-G","pSymB","1118015",1117174,1118193,0.22,0.213,"MODERATE","NP_437505.1","taurine ABC transporter substrate-binding protein","ASP62504.1","CDO30_30495","gene-CDO30_RS30525","tauA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1118542-T","pSymB","1118542",1118282,1119094,0.073,0.067,"LOW","NP_437506.1","taurine import ATP-binding protein TauB","ASP62505.1","CDO30_30500","gene-CDO30_RS30530",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1118827-A","pSymB","1118827",1118282,1119094,0.084,0.067,"LOW","NP_437506.1","taurine import ATP-binding protein TauB","ASP62505.1","CDO30_30500","gene-CDO30_RS30530",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1118956-T","pSymB","1118956",1118282,1119094,0.314,0.337,"LOW","NP_437506.1","taurine import ATP-binding protein TauB","ASP62505.1","CDO30_30500","gene-CDO30_RS30530",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1119058-A","pSymB","1119058",1118282,1119094,0.063,0.067,"LOW","NP_437506.1","taurine import ATP-binding protein TauB","ASP62505.1","CDO30_30500","gene-CDO30_RS30530",NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1119129-C","pSymB","1119129",1119087,1119914,0.094,0.124,"LOW","NP_437507.1","taurine ABC transporter permease","ASP62506.1","CDO30_30505","gene-CDO30_RS30535",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1119314-G","pSymB","1119314",1119087,1119914,0.335,0.36,"LOW","NP_437507.1","taurine ABC transporter permease","ASP62506.1","CDO30_30505","gene-CDO30_RS30535",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1120093-G","pSymB","1120093",1120031,1120417,0.236,0.225,"LOW","NP_437508.2","nuclear transport factor 2 family protein","ASP62507.1","CDO30_30510","gene-CDO30_RS30540",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1121008-T","pSymB","1121008",1120442,1121842,0.361,0.371,"LOW","NP_437509.1","FAD-binding oxidoreductase","ASP62508.1","CDO30_30515","gene-CDO30_RS30545",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1121731-T","pSymB","1121731",1120442,1121842,0.215,0.225,"LOW","NP_437509.1","FAD-binding oxidoreductase","ASP62508.1","CDO30_30515","gene-CDO30_RS30545",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1121994-A","pSymB","1121994",1121884,1123659,0.058,0.056,"LOW","NP_437510.1","sulfoacetaldehyde acetyltransferase","ASP62509.1","CDO30_30520","gene-CDO30_RS30550","xsc",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1122162-A","pSymB","1122162",1121884,1123659,0.079,0.09,"LOW","NP_437510.1","sulfoacetaldehyde acetyltransferase","ASP62509.1","CDO30_30520","gene-CDO30_RS30550","xsc",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1122186-G","pSymB","1122186",1121884,1123659,0.277,0.27,"LOW","NP_437510.1","sulfoacetaldehyde acetyltransferase","ASP62509.1","CDO30_30520","gene-CDO30_RS30550","xsc",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1123010-G","pSymB","1123010",1121884,1123659,0.152,0.18,"MODERATE","NP_437510.1","sulfoacetaldehyde acetyltransferase","ASP62509.1","CDO30_30520","gene-CDO30_RS30550","xsc",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1123140-G","pSymB","1123140",1121884,1123659,0.23,0.258,"LOW","NP_437510.1","sulfoacetaldehyde acetyltransferase","ASP62509.1","CDO30_30520","gene-CDO30_RS30550","xsc",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1123242-G","pSymB","1123242",1121884,1123659,0.147,0.124,"LOW","NP_437510.1","sulfoacetaldehyde acetyltransferase","ASP62509.1","CDO30_30520","gene-CDO30_RS30550","xsc",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1124082-G","pSymB","1124082",1123720,1124757,0.068,0.056,"LOW","NP_437511.1","hypothetical protein","ASP62510.1","CDO30_30525","gene-CDO30_RS30555",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1124106-G","pSymB","1124106",1123720,1124757,0.126,0.124,"LOW","NP_437511.1","hypothetical protein","ASP62510.1","CDO30_30525","gene-CDO30_RS30555",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1124496-A","pSymB","1124496",1123720,1124757,0.183,0.157,"LOW","NP_437511.1","hypothetical protein","ASP62510.1","CDO30_30525","gene-CDO30_RS30555",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1124538-A","pSymB","1124538",1123720,1124757,0.063,0.079,"LOW","NP_437511.1","hypothetical protein","ASP62510.1","CDO30_30525","gene-CDO30_RS30555",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1124586-G","pSymB","1124586",1123720,1124757,0.052,0.079,"LOW","NP_437511.1","hypothetical protein","ASP62510.1","CDO30_30525","gene-CDO30_RS30555",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1124667-C","pSymB","1124667",1123720,1124757,0.073,0.101,"LOW","NP_437511.1","hypothetical protein","ASP62510.1","CDO30_30525","gene-CDO30_RS30555",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1124925-A","pSymB","1124925",1124757,1125749,0.188,0.202,"MODERATE","NP_437512.1","phosphate acetyltransferase","ASP62511.1","CDO30_30530","gene-CDO30_RS30560","pta",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1125153-A","pSymB","1125153",1124757,1125749,0.141,0.135,"MODERATE","NP_437512.1","phosphate acetyltransferase","ASP62511.1","CDO30_30530","gene-CDO30_RS30560","pta",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1125575-T","pSymB","1125575",1124757,1125749,0.126,0.146,"LOW","NP_437512.1","phosphate acetyltransferase","ASP62511.1","CDO30_30530","gene-CDO30_RS30560","pta",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1126566-A","pSymB","1126566",1125892,1126677,0.183,0.191,"LOW","NP_437513.1","DeoR/GlpR transcriptional regulator","ASP62512.1","CDO30_30535","gene-CDO30_RS30565",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1129832-G","pSymB","1129832",1129250,1130119,0.052,0.056,"LOW","NP_437515.1","LysR family transcriptional regulator","ASP62514.1","CDO30_30545","gene-CDO30_RS30575",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1130039-C","pSymB","1130039",1129250,1130119,0.262,0.258,"LOW","NP_437515.1","LysR family transcriptional regulator","ASP62514.1","CDO30_30545","gene-CDO30_RS30575",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1130835-G","pSymB","1130835",1130228,1131898,0.183,0.191,"MODERATE","NP_437516.1","Na/Pi cotransporter family protein","ASP63085.1","CDO30_30550","gene-CDO30_RS30580",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1131059-T","pSymB","1131059",1130228,1131898,0.188,0.191,"MODERATE","NP_437516.1","Na/Pi cotransporter family protein","ASP63085.1","CDO30_30550","gene-CDO30_RS30580",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1133653-C","pSymB","1133653",1133224,1134498,0.33,0.326,"MODERATE","NP_437518.1","phosphonoacetate hydrolase","ASP62516.1","CDO30_30560","gene-CDO30_RS30590","phnA",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1133826-C","pSymB","1133826",1133224,1134498,0.079,0.056,"LOW","NP_437518.1","phosphonoacetate hydrolase","ASP62516.1","CDO30_30560","gene-CDO30_RS30590","phnA",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1135196-G","pSymB","1135196",1134495,1135952,0.115,0.09,"LOW","NP_437519.1","phosphonoacetaldehyde dehydrogenase","ASP62517.1","CDO30_30565","gene-CDO30_RS30595",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1135292-T","pSymB","1135292",1134495,1135952,0.068,0.067,"LOW","NP_437519.1","phosphonoacetaldehyde dehydrogenase","ASP62517.1","CDO30_30565","gene-CDO30_RS30595",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1136260-G","pSymB","1136260",1135959,1136447,0.447,0.443,"MODERATE","NP_437520.1","hypothetical protein","ASP62518.1","CDO30_30570","gene-CDO30_RS30600",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1136805-A","pSymB","1136805",1136670,1137692,0.398,0.416,"MODERATE","NP_437521.1","putative 2-aminoethylphosphonate ABC transporter substrate-binding protein","ASP62519.1","CDO30_30575","gene-CDO30_RS30605",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1137323-A","pSymB","1137323",1136670,1137692,0.204,0.191,"LOW","NP_437521.1","putative 2-aminoethylphosphonate ABC transporter substrate-binding protein","ASP62519.1","CDO30_30575","gene-CDO30_RS30605",NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1137383-T","pSymB","1137383",1136670,1137692,0.183,0.135,"LOW","NP_437521.1","putative 2-aminoethylphosphonate ABC transporter substrate-binding protein","ASP62519.1","CDO30_30575","gene-CDO30_RS30605",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1143364-T","pSymB","1143364",1141178,1144516,0.23,0.157,"LOW","NP_437524.1","hemolysin","ASP62522.1","CDO30_30590","gene-CDO30_RS30620",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1143553-C","pSymB","1143553",1141178,1144516,0.304,0.258,"LOW","NP_437524.1","hemolysin","ASP62522.1","CDO30_30590","gene-CDO30_RS30620",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1145107-T","pSymB","1145107",NA,NA,0.314,0.27,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS30625-gene-CDO30_RS30630",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1146772-G","pSymB","1146772",1145899,1147050,0.23,0.157,"LOW","NP_437527.1","sensor histidine kinase","ASP62525.1","CDO30_30605","gene-CDO30_RS30635",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1147964-G","pSymB","1147964",1147622,1154146,0.335,0.371,"MODERATE","NP_437529.1","autotransporter","ASP63086.1","CDO30_30615","gene-CDO30_RS30645",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1148489-G","pSymB","1148489",1147622,1154146,0.162,0.18,"MODERATE","NP_437529.1","autotransporter","ASP63086.1","CDO30_30615","gene-CDO30_RS30645",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1149490-A","pSymB","1149490",1147622,1154146,0.236,0.157,"LOW","NP_437529.1","autotransporter","ASP63086.1","CDO30_30615","gene-CDO30_RS30645",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1149916-G","pSymB","1149916",1147622,1154146,0.272,0.225,"LOW","NP_437529.1","autotransporter","ASP63086.1","CDO30_30615","gene-CDO30_RS30645",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1150114-T","pSymB","1150114",1147622,1154146,0.435,0.404,"LOW","NP_437529.1","autotransporter","ASP63086.1","CDO30_30615","gene-CDO30_RS30645",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1151705-T","pSymB","1151705",1147622,1154146,0.147,0.169,"MODERATE","NP_437529.1","autotransporter","ASP63086.1","CDO30_30615","gene-CDO30_RS30645",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1151943-C","pSymB","1151943",1147622,1154146,0.105,0.067,"MODERATE","NP_437529.1","autotransporter","ASP63086.1","CDO30_30615","gene-CDO30_RS30645",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1151996-G","pSymB","1151996",1147622,1154146,0.162,0.18,"MODERATE","NP_437529.1","autotransporter","ASP63086.1","CDO30_30615","gene-CDO30_RS30645",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1153423-C","pSymB","1153423",1147622,1154146,0.126,0.146,"MODERATE","NP_437529.1","autotransporter","ASP63086.1","CDO30_30615","gene-CDO30_RS30645",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1153973-A","pSymB","1153973",1147622,1154146,0.267,0.247,"MODERATE","NP_437529.1","autotransporter","ASP63086.1","CDO30_30615","gene-CDO30_RS30645",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1154165-C","pSymB","1154165",NA,NA,0.058,0.079,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS30645-gene-CDO30_RS30650",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1156847-C","pSymB","1156847",1156620,1157546,0.068,0.056,"LOW","NP_437532.1","hypothetical protein","ASP62528.1","CDO30_30630","gene-CDO30_RS30660",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1156857-C","pSymB","1156857",1156620,1157546,0.199,0.213,"MODERATE","NP_437532.1","hypothetical protein","ASP62528.1","CDO30_30630","gene-CDO30_RS30660",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1157265-T","pSymB","1157265",1156620,1157546,0.22,0.213,"LOW","NP_437532.1","hypothetical protein","ASP62528.1","CDO30_30630","gene-CDO30_RS30660",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1157366-C","pSymB","1157366",1156620,1157546,0.168,0.146,"LOW","NP_437532.1","hypothetical protein","ASP62528.1","CDO30_30630","gene-CDO30_RS30660",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1157489-G","pSymB","1157489",1156620,1157546,0.053,0.068,"LOW","NP_437532.1","hypothetical protein","ASP62528.1","CDO30_30630","gene-CDO30_RS30660",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-115782-A","pSymB","115782",115282,116142,0.225,0.225,"LOW","NP_436580.1","shikimate dehydrogenase","ASP61626.1","CDO30_25630","gene-CDO30_RS25655",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1158862-A","pSymB","1158862",1158421,1158963,0.163,0.102,"MODERATE","NP_437534.1","hypothetical protein","ASP62530.1","CDO30_30640","gene-CDO30_RS30670",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1160941-G","pSymB","1160941",1159463,1161244,0.225,0.202,"LOW","NP_437535.1","potassium transporter","ASP62532.1","CDO30_30650","gene-CDO30_RS30680",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1161208-C","pSymB","1161208",1159463,1161244,0.482,0.472,"MODERATE","NP_437535.1","potassium transporter","ASP62532.1","CDO30_30650","gene-CDO30_RS30680",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1162267-G","pSymB","1162267",1161325,1163550,0.445,0.494,"LOW","NP_437536.1","acylaldehyde oxidase","ASP62533.1","CDO30_30655","gene-CDO30_RS30685",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1162756-T","pSymB","1162756",1161325,1163550,0.105,0.146,"LOW","NP_437536.1","acylaldehyde oxidase","ASP62533.1","CDO30_30655","gene-CDO30_RS30685",NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1162819-G","pSymB","1162819",1161325,1163550,0.377,0.404,"LOW","NP_437536.1","acylaldehyde oxidase","ASP62533.1","CDO30_30655","gene-CDO30_RS30685",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1162906-C","pSymB","1162906",1161325,1163550,0.346,0.371,"LOW","NP_437536.1","acylaldehyde oxidase","ASP62533.1","CDO30_30655","gene-CDO30_RS30685",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1163140-T","pSymB","1163140",1161325,1163550,0.366,0.404,"LOW","NP_437536.1","acylaldehyde oxidase","ASP62533.1","CDO30_30655","gene-CDO30_RS30685",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1168117-C","pSymB","1168117",1167784,1168482,0.079,0.135,"LOW","NP_437541.1","DNA-binding response regulator","ASP62538.1","CDO30_30680","gene-CDO30_RS30710",NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-116845-C","pSymB","116845",116683,118107,0.435,0.494,"LOW","NP_436582.1","PLP-dependent aminotransferase family protein","ASP61627.1","CDO30_25640","gene-CDO30_RS25665",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1168648-A","pSymB","1168648",1168519,1169070,0.131,0.18,"LOW","NP_437542.1","hypothetical protein","ASP62539.1","CDO30_30685","gene-CDO30_RS30715",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1168654-C","pSymB","1168654",1168519,1169070,0.105,0.157,"LOW","NP_437542.1","hypothetical protein","ASP62539.1","CDO30_30685","gene-CDO30_RS30715",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1168942-A","pSymB","1168942",1168519,1169070,0.073,0.067,"LOW","NP_437542.1","hypothetical protein","ASP62539.1","CDO30_30685","gene-CDO30_RS30715",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1168945-G","pSymB","1168945",1168519,1169070,0.099,0.146,"LOW","NP_437542.1","hypothetical protein","ASP62539.1","CDO30_30685","gene-CDO30_RS30715",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1169361-T","pSymB","1169361",1169201,1169737,0.063,0.101,"MODERATE","WP_004434690.1","transcriptional regulator","ASP62540.1","CDO30_30690","gene-CDO30_RS30720",NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1174475-C","pSymB","1174475",1174250,1176286,0.11,0.101,"LOW","NP_437550.1","N-methylproline demethylase","ASP62545.1","CDO30_30725","gene-CDO30_RS30755",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1176427-A","pSymB","1176427",NA,NA,0.45,0.461,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS30755-gene-CDO30_RS30760",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1176682-A","pSymB","1176682",1176428,1177054,0.089,0.124,"LOW","NP_437551.1","TetR/AcrR family transcriptional regulator","ASP62546.1","CDO30_30730","gene-CDO30_RS30760",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1178758-T","pSymB","1178758",1178250,1179233,0.304,0.281,"MODERATE","NP_437553.1","murein L%2CD-transpeptidase","ASP62548.1","CDO30_30740","gene-CDO30_RS30770",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1178888-A","pSymB","1178888",1178250,1179233,0.419,0.438,"LOW","NP_437553.1","murein L%2CD-transpeptidase","ASP62548.1","CDO30_30740","gene-CDO30_RS30770",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1179250-T","pSymB","1179250",NA,NA,0.199,0.191,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS30770-gene-CDO30_RS30775",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1179277-A","pSymB","1179277",NA,NA,0.22,0.225,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS30770-gene-CDO30_RS30775",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1179647-G","pSymB","1179647",NA,NA,0.429,0.382,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS30770-gene-CDO30_RS30775",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1180248-G","pSymB","1180248",NA,NA,0.366,0.416,"MODIFIER",NA,"non-coding",NA,NA,"gene-CDO30_RS30775-gene-CDO30_RS30780",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1180521-T","pSymB","1180521",1180410,1181615,0.387,0.427,"MODERATE","NP_437555.1","MFS transporter","ASP62550.1","CDO30_30750","gene-CDO30_RS30780",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
"freebayes-snp-psymb-1181465-T","pSymB","1181465",1180410,1181615,0.466,0.483,"MODERATE","NP_437555.1","MFS transporter","ASP62550.1","CDO30_30750","gene-CDO30_RS30780",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-sig"
