"region","gene_ID","RefSeq_ID","ncbi_func","traits","lines","overlap"
"pSymA","CDO30_21310","NP_435350.2","ABC transporter permease","leaf.plast","DZA","plast_only"
"pSymA","CDO30_21340","NP_435346.1","TetR/AcrR family transcriptional regulator","leaf","DZA","trait_only"
"pSymA","CDO30_21345","NP_435345.1","hypothetical protein","leaf","DZA","trait_only"
"pSymA","CDO30_21355","NP_435343.1","MFS transporter","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_21365","NP_435341.1","PhzF family phenazine biosynthesis protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_21370","NP_435340.1","LysR family transcriptional regulator","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_21380","YP_002823300.1","GYD domain-containing protein","leaf","DZA","trait_only"
"pSymA","CDO30_21385","NP_435339.1","mechanosensitive ion channel family protein","leaf","DZA","trait_only"
"pSymA","CDO30_21390","NP_435338.1","polyphosphate kinase 2","leaf.plast","DZA","plast_only"
"pSymA","CDO30_21395","NP_435337.1","alpha/beta hydrolase","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_21400","NP_435336.1","class I SAM-dependent methyltransferase","leaf","DZA","trait_only"
"pSymA","CDO30_21410","NP_435334.1","hypothetical protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_21420","NP_435332.2","secretin","leaf","DZA","trait_only"
"pSymA","CDO30_21425","NP_435330.1","GntR family transcriptional regulator","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_21430","NP_435329.1","ABC transporter substrate-binding protein","leaf","A17","trait_only"
"pSymA","CDO30_21435","NP_435328.1","TRAP transporter small permease","leaf","A17, DZA","trait_only"
"pSymA","CDO30_21440","YP_001313846.1","TRAP transporter large permease","leaf, leaf.plast","A17, DZA","both_traits"
"pSymA","CDO30_21445","YP_001313847.1","MCD%2C Malonyl-CoA decarboxylase MCD","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_21460","NP_435324.1","hypothetical protein","leaf","DZA","trait_only"
"pSymA","CDO30_21470","NP_435322.1","anti-sigma factor","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_21475","NP_435321.2","RNA polymerase sigma factor","leaf","DZA","trait_only"
"pSymA","CDO30_21480","NP_435320.1","protease","leaf","A17, DZA","trait_only"
"pSymA","CDO30_21490","NP_435318.2","bifunctional diguanylate cyclase/phosphodiesterase","leaf, leaf.plast","A17, DZA","both_traits"
"pSymA","CDO30_21495","NP_435317.2","AI-2E family transporter","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_21505","NP_435316.1","hypothetical protein","leaf, leaf.plast","A17, DZA","both_traits"
"pSymA","CDO30_21515","NP_435314.1","fatty acid desaturase","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_21520","NP_435313.1","hypothetical protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_21535","NP_435310.1","molecular chaperone GroEL","leaf","DZA","trait_only"
"pSymA","CDO30_21550","NP_435307.1","cytochrome C","leaf","A17","trait_only"
"pSymA","CDO30_21555","NP_435306.1","hypothetical protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_21575","NP_435303.1","histidine kinase","leaf","DZA","trait_only"
"pSymA","CDO30_21590","NP_435301.1","ABC transporter ATP-binding protein","leaf","A17","trait_only"
"pSymA","CDO30_21595","NP_435300.1","ABC transporter ATP-binding protein","leaf","A17","trait_only"
"pSymA","CDO30_21600","NP_435299.1","ABC transporter permease","leaf","DZA","trait_only"
"pSymA","CDO30_21605","NP_435298.1","ABC transporter permease","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_21610","NP_435297.1","ABC transporter substrate-binding protein","leaf, leaf.plast","A17, DZA","both_traits"
"pSymA","CDO30_21615","NP_435296.1","amidohydrolase","leaf","A17, DZA","trait_only"
"pSymA","CDO30_21620","NP_435295.1","LysR family transcriptional regulator","leaf.plast","A17","plast_only"
"pSymA","CDO30_21625","NP_435294.1","D-aminopeptidase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_21630","NP_435293.1","D-amino acid aminotransferase","leaf, leaf.plast","A17, DZA","both_traits"
"pSymA","CDO30_21670","NP_435285.1","amino acid ABC transporter permease","leaf","DZA","trait_only"
"pSymA","CDO30_21680","NP_435283.1","aldose 1-epimerase","leaf","A17","trait_only"
"pSymA","CDO30_21685","NP_435282.1","NAD(P)-dependent oxidoreductase","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_21695","NP_435280.1","ABC transporter permease","leaf","DZA","trait_only"
"pSymA","CDO30_21700","YP_001314463.1","ABC transporter substrate-binding protein","leaf, leaf.plast","A17","both_traits"
"pSymA","CDO30_21710","NP_435277.2","dehydratase","leaf","DZA, A17","trait_only"
"pSymA","CDO30_21715","NP_435276.2","FadR family transcriptional regulator","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_21720","NP_435275.1","GntR family transcriptional regulator","leaf","A17","trait_only"
"pSymA","CDO30_21725","NP_435274.1","gluconolactonase","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_21735","NP_435272.1","AGE family epimerase/isomerase","leaf","A17","trait_only"
"pSymA","CDO30_21740","YP_001314472.1","mandelate racemase","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_21780","NP_435265.2","NADPH:quinone reductase","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_21785","NP_435264.2","LysR family transcriptional regulator","leaf","DZA","trait_only"
"pSymA","CDO30_21790","NP_435263.1","ABC transporter ATP-binding protein","leaf","DZA","trait_only"
"pSymA","CDO30_21795","NP_435262.1","protease","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_21810","NP_435259.1","hypothetical protein","leaf","DZA, A17","trait_only"
"pSymA","CDO30_21815","NP_435258.2","transglutaminase family protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_21865","YP_002000327.1","hypothetical protein","leaf","DZA","trait_only"
"pSymA","CDO30_21870","NP_435254.1","hypothetical protein","leaf","DZA","trait_only"
"pSymA","CDO30_21875","NP_435253.1","selenocysteine-specific translation elongation factor","leaf","DZA, A17","trait_only"
"pSymA","CDO30_21885","NP_435251.1","L-selenocysteinyl-tRNA(Sec) synthase","leaf","A17","trait_only"
"pSymA","CDO30_21890","NP_435250.1","formate dehydrogenase accessory protein FdhE","leaf","A17","trait_only"
"pSymA","CDO30_21905","NP_435247.1","formate dehydrogenase-N subunit alpha","leaf","DZA, A17","trait_only"
"pSymA","CDO30_21915","NP_436539.2","plasmid partitioning protein RepB","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_21920","NP_436538.1","replication initiation protein RepC","leaf","DZA","trait_only"
"pSymA","CDO30_21925","NP_436537.2","peroxiredoxin","leaf","DZA","trait_only"
"pSymA","CDO30_21935","NP_436535.1","ABC transporter ATP-binding protein","leaf","A17","trait_only"
"pSymA","CDO30_21940","NP_436534.1","quinone oxidoreductase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_21945","NP_436533.2","TetR/AcrR family transcriptional regulator","leaf.plast","A17","plast_only"
"pSymA","CDO30_21950","WP_017267459.1","LysR family transcriptional regulator","leaf.plast","DZA","plast_only"
"pSymA","CDO30_21955","NP_436532.1","catalase/peroxidase HPI","leaf, leaf.plast","A17, DZA","both_traits"
"pSymA","CDO30_21960","NP_436531.1","MFS transporter","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_21970","YP_002000364.1","cupin","leaf","A17","trait_only"
"pSymA","CDO30_21975","NP_436528.1","cytosine deaminase","leaf","DZA, A17","trait_only"
"pSymA","CDO30_21990","NP_436525.1","ABC transporter ATP-binding protein","leaf","A17","trait_only"
"pSymA","CDO30_21995","NP_436524.1","amidase","leaf, leaf.plast","A17","both_traits"
"pSymA","CDO30_22030","NP_436519.2","oxidoreductase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_22035","NP_436518.1","molybdopterin dehydrogenase","leaf, leaf.plast","A17, DZA","both_traits"
"pSymA","CDO30_22045","NP_436516.2","class I SAM-dependent methyltransferase","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_22050","YP_002000363.1","hypothetical protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_22065","NP_436513.2","LysR family transcriptional regulator","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_22120","NP_436502.1","hypothetical protein","leaf.plast","DZA","plast_only"
"pSymA","CDO30_22125",NA,"K(+)-transporting ATPase subunit F","leaf","A17","trait_only"
"pSymA","CDO30_22130","NP_436501.1","potassium-transporting ATPase A chain","leaf, leaf.plast","A17, DZA","both_traits"
"pSymA","CDO30_22135","NP_436500.1","potassium-transporting ATPase subunit B","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_22145","NP_436498.1","sensor histidine kinase KdpD","leaf","DZA, A17","trait_only"
"pSymA","CDO30_22160","NP_436495.1","ATP-dependent helicase","leaf.plast","A17","plast_only"
"pSymA","CDO30_22170","NP_436494.2","glutathione S-transferase family protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_22180","NP_436491.1","oxidoreductase","leaf.plast","A17","plast_only"
"pSymA","CDO30_22205","NP_436486.1","sugar kinase","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_22220","NP_436483.2","SH3 domain-containing protein","leaf","DZA","trait_only"
"pSymA","CDO30_22230","NP_436482.1","penicillin-binding protein 2","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_22235","NP_436481.1","penicillin-binding protein 1A","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_22240","NP_436480.1","LysR family transcriptional regulator","leaf, leaf.plast","A17, DZA","both_traits"
"pSymA","CDO30_22245","NP_436479.1","dehydrogenase","leaf, leaf.plast","A17","both_traits"
"pSymA","CDO30_22255","NP_436477.2","LysR family transcriptional regulator","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_22315","NP_436465.1","hypothetical protein","leaf","A17","trait_only"
"pSymA","CDO30_22320","YP_001314981.1","hypothetical protein","leaf","DZA","trait_only"
"pSymA","CDO30_22330","NP_436462.1","integrase","leaf","A17","trait_only"
"pSymA","CDO30_22610","NP_436416.2","transcriptional regulator","leaf","DZA","trait_only"
"pSymA","CDO30_22720","NP_436397.2","hemolysin-type calcium-binding protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_22725","WP_013851125.1","DUF2798 domain-containing protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_22730","NP_436396.2","NmrA/HSCARG family protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_22735","NP_436395.1","LysR family transcriptional regulator","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_23055","WP_017266788.1","LysR family transcriptional regulator","leaf","DZA","trait_only"
"pSymA","CDO30_23060","NP_436334.1","epimerase","leaf","DZA","trait_only"
"pSymA","CDO30_23080","WP_017264744.1","oxidoreductase","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_23100","NP_436325.1","short-chain dehydrogenase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_23105","NP_436324.1","LysR family transcriptional regulator","leaf, leaf.plast","A17, DZA","both_traits"
"pSymA","CDO30_23130","NP_436319.2","MFS transporter","leaf.plast","DZA","plast_only"
"pSymA","CDO30_23140","NP_436317.2","LysR family transcriptional regulator","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_23155","NP_436315.1","serine hydrolase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_23185","NP_436311.1","EamA family transporter","leaf.plast","DZA","plast_only"
"pSymA","CDO30_23195","NP_436309.1","hypothetical protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_23320","NP_436294.1","penicillin-binding protein","leaf","DZA","trait_only"
"pSymA","CDO30_23335","YP_001314413.1","protease","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_23345","NP_436290.1","osmotically inducible protein C","leaf.plast","DZA","plast_only"
"pSymA","CDO30_23350","NP_436289.1","peptide-methionine (S)-S-oxide reductase","leaf","DZA","trait_only"
"pSymA","CDO30_23355","NP_436288.1","peptide-methionine (R)-S-oxide reductase","leaf","DZA","trait_only"
"pSymA","CDO30_23435","NP_436274.1","FAD-binding oxidoreductase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_23445","NP_436272.1","ABC transporter ATP-binding protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_23450","NP_436271.1","ABC transporter permease","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_23455","NP_436270.1","ABC transporter permease","leaf","DZA","trait_only"
"pSymA","CDO30_23460","NP_436269.1","ABC transporter substrate-binding protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_23470","NP_436267.1","aspartate aminotransferase family protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_23475","YP_001314274.1","N-acetyltransferase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_23485","NP_436264.1","FAD-binding oxidoreductase","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_23490","NP_436263.1","NAD-dependent succinate-semialdehyde dehydrogenase","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_23495","NP_436262.1","tartrate dehydrogenase","leaf","A17","trait_only"
"pSymA","CDO30_23540",NA,"hypothetical protein","leaf.plast","A17","plast_only"
"pSymA","CDO30_23545","YP_002823802.1","hypothetical protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_23570","WP_014531371.1","hypothetical protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_23590","NP_436246.1","DoxX family protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_23595","NP_436245.1","MFS transporter","leaf.plast","DZA","plast_only"
"pSymA","CDO30_23600","NP_436244.1","MBL fold metallo-hydrolase","leaf.plast","DZA","plast_only"
"pSymA","CDO30_23630","NP_436237.1","potassium transporter Kup","leaf.plast","A17","plast_only"
"pSymA","CDO30_23640","WP_013845649.1","hypothetical protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_23645","WP_014531379.1","hypothetical protein","leaf","DZA","trait_only"
"pSymA","CDO30_23660","NP_436233.1","adenylate/guanylate cyclase domain-containing protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_23695","WP_003548655.1","hypothetical protein","leaf.plast","DZA","plast_only"
"pSymA","CDO30_23700","NP_436226.1","alpha/beta hydrolase","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_23705","WP_013845639.1","hypothetical protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_23740","NP_436220.1","DUF937 domain-containing protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_23745","NP_436219.1","aminotransferase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_23750","NP_436218.1","phosphotransferase","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_23790","WP_013845625.1","hypothetical protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_23845","NP_436200.2","amidohydrolase","leaf","DZA","trait_only"
"pSymA","CDO30_23855","NP_436198.1","betaine-aldehyde dehydrogenase","leaf","DZA","trait_only"
"pSymA","CDO30_23860","NP_436197.1","ABC transporter substrate-binding protein","leaf","DZA","trait_only"
"pSymA","CDO30_23865","NP_436196.1","alpha/beta hydrolase","leaf","A17","trait_only"
"pSymA","CDO30_23880","NP_436193.2","cysteine hydrolase","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_23890","NP_436191.1","LysR family transcriptional regulator","leaf.plast","DZA","plast_only"
"pSymA","CDO30_23895","NP_436190.1","adenine deaminase","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_23905","NP_436188.1","adenine deaminase","leaf","A17","trait_only"
"pSymA","CDO30_23910","WP_017272267.1","hypothetical protein","leaf","A17","trait_only"
"pSymA","CDO30_24000","NP_436170.1","arylsulfatase","leaf","DZA, A17","trait_only"
"pSymA","CDO30_24005","NP_436169.1","haloacid dehalogenase-like hydrolase","leaf","DZA","trait_only"
"pSymA","CDO30_24010","NP_436168.1","hypothetical protein","leaf","DZA, A17","trait_only"
"pSymA","CDO30_24020","NP_436166.2","amidohydrolase family protein","leaf","A17","trait_only"
"pSymA","CDO30_24185","WP_017506755.1","hypothetical protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_24200","NP_436135.2","nuclear transport factor 2 family protein","leaf","DZA","trait_only"
"pSymA","CDO30_24205","NP_436134.1","short-chain dehydrogenase","leaf","DZA","trait_only"
"pSymA","CDO30_24215","NP_436132.1","LysR family transcriptional regulator","leaf","DZA","trait_only"
"pSymA","CDO30_24260","NP_436121.1","NAD(P)-dependent oxidoreductase","leaf.plast","A17","plast_only"
"pSymA","CDO30_24270","NP_436119.2","LysR family transcriptional regulator","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_24275","NP_436118.1","sodium:proton antiporter","leaf.plast","DZA","plast_only"
"pSymA","CDO30_24305","YP_002823460.1","FAD-dependent oxidoreductase","leaf","A17","trait_only"
"pSymA","CDO30_24350","NP_436107.2","adenylate/guanylate cyclase domain-containing protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_24360","NP_436105.1","hypothetical protein","leaf","DZA","trait_only"
"pSymA","CDO30_24380","NP_436101.1","pilus assembly protein CpaE","leaf","DZA","trait_only"
"pSymA","CDO30_24385","NP_436100.1","pilus assembly protein","leaf","DZA","trait_only"
"pSymA","CDO30_24415","NP_436094.1","hybrid sensor histidine kinase/response regulator","leaf","DZA","trait_only"
"pSymA","CDO30_24430","NP_436091.1","chemotaxis protein CheR","leaf","DZA, A17","trait_only"
"pSymA","CDO30_24515","NP_436074.1","NADH-quinone oxidoreductase subunit G 2","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_24520","NP_436073.1","histidine kinase","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_24530","NP_436071.1","NADH-quinone oxidoreductase subunit H 2","leaf","DZA","trait_only"
"pSymA","CDO30_24540","NP_436069.1","ABC transporter permease","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_24550","NP_436067.1","ABC transporter ATP-binding protein","leaf","DZA","trait_only"
"pSymA","CDO30_24560","YP_001314499.1","GntR family transcriptional regulator","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_24565","NP_436064.1","aromatic ring-hydroxylating dioxygenase subunit alpha","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_24570","NP_436063.1","aromatic ring-hydroxylating dioxygenase subunit alpha","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_24590","NP_436059.1","hypothetical protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_24595","NP_436058.1","LysR family transcriptional regulator","leaf","DZA","trait_only"
"pSymA","CDO30_24620","YP_002000355.1","MFS transporter","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_24625","NP_436053.1","dehydrogenase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_24645","NP_436049.1","aminopeptidase P family protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_24665","NP_436045.1","ABC transporter permease","leaf","DZA","trait_only"
"pSymA","CDO30_24680","NP_436042.1","dehydrogenase","leaf","DZA","trait_only"
"pSymA","CDO30_24685","NP_436041.1","DUF2384 domain-containing protein","leaf","A17","trait_only"
"pSymA","CDO30_24695","NP_436039.2","AraC family transcriptional regulator","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_24705","NP_436037.1","acetyl-CoA acetyltransferase","leaf","DZA","trait_only"
"pSymA","CDO30_24715","NP_436036.2","MFS transporter","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_24720","NP_436035.2","hypothetical protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_24730","NP_436033.1","5-dehydro-4-deoxyglucarate dehydratase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_24735","NP_436032.1","ABC transporter substrate-binding protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_24740","YP_001313791.1","ABC transporter permease","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_24745","NP_436030.1","ABC transporter permease","leaf.plast","DZA","plast_only"
"pSymA","CDO30_24750","NP_436029.1","ABC transporter ATP-binding protein","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_24870","NP_436006.1","LysR family transcriptional regulator","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_24875","WP_014528683.1","FAD-binding oxidoreductase","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_24885","NP_436004.1","oxidase","leaf","A17","trait_only"
"pSymA","CDO30_24890","NP_436003.1","ABC transporter substrate-binding protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_24900","NP_436002.1","amidase","leaf, leaf.plast","A17, DZA","both_traits"
"pSymA","CDO30_24905","NP_436001.2","ABC transporter substrate-binding protein","leaf","DZA","trait_only"
"pSymA","CDO30_24915","NP_435999.1","ABC transporter permease","leaf.plast","A17","plast_only"
"pSymA","CDO30_24920","YP_001313776.1","ABC transporter ATP-binding protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_24960","NP_435991.1","carbohydrate ABC transporter permease","leaf","DZA","trait_only"
"pSymA","CDO30_24975","NP_435989.2","VOC family protein","leaf","DZA","trait_only"
"pSymA","CDO30_24980","NP_435987.1","DUF1206 domain-containing protein","leaf","DZA","trait_only"
"pSymA","CDO30_24990","NP_435985.1","sugar phosphate isomerase/epimerase","leaf","DZA","trait_only"
"pSymA","CDO30_25010","NP_435981.1","ABC transporter ATP-binding protein","leaf","A17","trait_only"
"pSymA","CDO30_25035","NP_435977.2","ABC transporter substrate-binding protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_25040","YP_002000352.1","TetR/AcrR family transcriptional regulator","leaf.plast","DZA","plast_only"
"pSymA","CDO30_25070","NP_435970.1","alpha/beta hydrolase","leaf, leaf.plast","DZA","both_traits"
"pSymA","CDO30_25080","NP_435968.1","hypothetical protein","leaf","A17","trait_only"
"pSymA","CDO30_25085","NP_435967.1","MarR family transcriptional regulator","leaf","A17","trait_only"
"pSymA","CDO30_25100","NP_435964.1","Type IV secretory pathway AvhB2 protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymA","CDO30_25110","NP_435962.1","VirB4 family type IV secretion/conjugal transfer ATPase","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_25160","NP_438061.1","hybrid sensor histidine kinase/response regulator","leaf.plast","A17","plast_only"
"pSymB","CDO30_25175","NP_438064.1","two-component sensor histidine kinase","leaf.plast","A17","plast_only"
"pSymB","CDO30_25185","NP_438066.1","hypothetical protein","leaf","DZA","trait_only"
"pSymB","CDO30_25190","NP_438067.1","phosphomethylpyrimidine synthase ThiC","leaf","DZA","trait_only"
"pSymB","CDO30_25200","YP_001312910.1","thiamine biosynthesis protein ThiS","leaf","A17","trait_only"
"pSymB","CDO30_25205","NP_438069.1","thiazole synthase","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_25210","NP_438070.1","thiamine phosphate synthase","leaf","DZA","trait_only"
"pSymB","CDO30_25245","NP_438077.1","MFS transporter","leaf","DZA, A17","trait_only"
"pSymB","CDO30_25295","WP_014331479.1","LacI family transcriptional regulator","leaf, leaf.plast","A17, DZA","both_traits"
"pSymB","CDO30_25310","NP_438090.1","carboxynorspermidine decarboxylase","leaf.plast","A17","plast_only"
"pSymB","CDO30_25315","NP_438091.1","3-hydroxyacyl-CoA dehydrogenase","leaf, leaf.plast","A17, DZA","both_traits"
"pSymB","CDO30_25320","NP_438092.1","2-(1%2C2-epoxy-1%2C2-dihydrophenyl)acetyl-CoA isomerase","leaf, leaf.plast","A17, DZA","both_traits"
"pSymB","CDO30_25330","NP_438094.3","bifunctional aldehyde dehydrogenase/enoyl-CoA hydratase","leaf","A17, DZA","trait_only"
"pSymB","CDO30_25335","NP_438095.1","phenylacetic acid degradation protein","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_25340","NP_438096.1","phenylacetate-CoA oxygenase subunit PaaJ","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_25345","NP_438097.1","phenylacetate-CoA oxygenase subunit PaaI","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_25365","NP_438101.1","DUF992 domain-containing protein","leaf","A17","trait_only"
"pSymB","CDO30_25370","NP_438102.1","alpha-glucosidase/alpha-galactosidase","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_25375","NP_438103.1","ABC transporter ATP-binding protein","leaf.plast","A17","plast_only"
"pSymB","CDO30_25380","NP_438104.1","ABC transporter permease","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_25395","NP_438107.1","alpha-glucosidase/alpha-galactosidase","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_25400","NP_438108.1","AraC family transcriptional regulator","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_25410","NP_438110.1","VapC toxin family PIN domain ribonuclease","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_25415","YP_002822257.1","plasmid stabilization protein","leaf, leaf.plast","A17, DZA","both_traits"
"pSymB","CDO30_25420","NP_436541.1","sugar ABC transporter substrate-binding protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_25425","NP_436542.1","sugar ABC transporter permease","leaf","DZA","trait_only"
"pSymB","CDO30_25440","NP_436545.1","ABC transporter ATP-binding protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_25445","NP_436546.1","pyrroline-5-carboxylate reductase","leaf, leaf.plast","A17, DZA","both_traits"
"pSymB","CDO30_25450","NP_436547.1","LysR family transcriptional regulator","leaf","DZA, A17","trait_only"
"pSymB","CDO30_25455","NP_436548.1","glutathione S-transferase","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_25460","NP_436549.1","flavin-nucleotide-binding protein","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_25465","NP_436550.1","catalase C","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_25470","NP_436551.1","ATP-dependent DNA ligase","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_25475","NP_436552.1","LysR family transcriptional regulator","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_25480","NP_436553.1","alpha/beta hydrolase","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_25485","NP_436554.1","ZIP family metal transporter","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_25490","NP_436555.1","vitamin K epoxide reductase","leaf.plast","A17","plast_only"
"pSymB","CDO30_25495","NP_436556.1","gfo/Idh/MocA family oxidoreductase","leaf.plast","A17","plast_only"
"pSymB","CDO30_25505","NP_436558.1","ABC transporter permease","leaf, leaf.plast","DZA","both_traits"
"pSymB","CDO30_25510","NP_436559.1","ABC transporter permease","leaf, leaf.plast","DZA, A17","both_traits"
"pSymB","CDO30_25515","NP_436560.1","sugar ABC transporter ATP-binding protein","leaf.plast","A17","plast_only"
"pSymB","CDO30_25525","NP_436561.1","sugar ABC transporter substrate-binding protein","leaf, leaf.plast","A17, DZA","both_traits"
"pSymB","CDO30_25530","NP_436562.1","dihydrolipoamide succinyltransferase","leaf, leaf.plast","A17","both_traits"
"pSymB","CDO30_25535","NP_436563.1","pyruvate dehydrogenase","leaf, leaf.plast","A17, DZA","both_traits"
